,"Symbol","Company Name","Security Type","Security Price","Equity Summary Score","Volume (90 Day Avg)","Market Capitalization","Dividend Yield","Company Headquarters Location","Sector","Industry","Optionable","Price Performance (52 Weeks)","Total Return (1 Yr Annualized)","Beta (1 Year Annualized)","Standard Deviation (1 Yr Annualized)","S&P Global Market Intelligence Valuation","S&P Global Market Intelligence Quality","S&P Global Market Intelligence Growth Stability","S&P Global Market Intelligence Financial Health","P/E (Price/TTM Earnings)","PEG Ratio","EPS Growth (Proj This Yr vs. Last Yr)","Institutional Ownership","Institutional Ownership (Last vs. Prior Qtr)","Analyst Sentiment"
26,"BMO","Bank of Montreal","Common Stock",105.18,9.8,0.8719,68200000000,3.93373,"Canada","Financials","Banks","Yes (Option Chain)",11.49035,15.43028,0.610475,0.16916,82,48,92,,8.1,1.08043,5.33951,39.942,1.2712,"very bullish"
27,"BMY","Bristol-Myers Squibb Co","Common Stock",75.08,9.8,14.38305,159850000000,2.87693,"United States of America","Health Care","Pharmaceuticals","Yes (Option Chain)",20.28196,24.10696,0.153963,0.17306,92,99,83,92,26.6,5.32482,2.14381,73.543,0.1525,"very bullish"
28,"BRBS","Blue Ridge Bankshares Inc","Common Stock",14.65,9.8,0.05733,274980000,3.34471,"United States of America","Financials","Banks","No",-7.70688,-5.02767,0.005984,0.18462,93,8,45,,4.2,,,,12.5161,"very bullish"
29,"CVS","CVS Health Corp","Common Stock",96.5,9.8,6.12882,126720000000,2.27979,"United States of America","Health Care","Health Care Providers & Services","Yes (Option Chain)",26.3089,29.14546,0.806084,0.22845,97,99,64,98,16.2,2.71666,-1.58333,78.3058,2.7657,"very bullish"
30,"EOG","EOG Resources Inc.","Common Stock",116.31,9.8,4.45891,68090000000,2.57931,"United States of America","Energy","Oil, Gas & Consumable Fuels","Yes (Option Chain)",57.94405,68.79861,0.599092,0.39239,67,66,92,65,14.6,1.24798,81.64925,86.1497,-0.0071,"very bullish"
31,"FDBC","Fidelity D & D Bancorp Inc","Common Stock",36.82,9.8,0.00665,210900000,3.58501,"United States of America","Financials","Banks","No",-34.55386,-32.96428,1.165869,0.31896,63,28,70,,7.9,,,,6.6654,"very bullish"
32,"HIG","Hartford Financial Services Group Inc. (The)","Common Stock",70.1,9.8,2.00403,23050000000,2.19686,"United States of America","Financials","Insurance","Yes (Option Chain)",6.27653,8.59069,0.565163,0.1856,81,78,83,64,9.6,0.74172,12.61789,93.1471,-0.8119,"very bullish"
33,"HSII","Heidrick & Struggles International Inc","Common Stock",32.3,9.8,0.12238,636890000,1.85759,"United States of America","Industrials","Professional Services","Yes (Option Chain)",-23.64066,-22.57144,1.024861,0.33846,99,98,88,98,9,,-10.37688,91.7099,-1.4908,"very bullish"
34,"KEY","KeyCorp","Common Stock",19.47,9.8,9.23393,17910000000,4.00616,"United States of America","Financials","Banks","Yes (Option Chain)",-10.5239,-7.53184,0.776753,0.30633,76,85,52,92,7.9,14.93326,-14.52471,83.6819,0.0079,"very bullish"
35,"KFY","Korn Ferry","Common Stock",62.12,9.8,0.37456,3350000000,0.7727,"United States of America","Industrials","Professional Services","Yes (Option Chain)",-8.49904,-7.87227,1.565976,0.33136,93,75,93,81,11.3,,142.749,96.1333,2.3059,"very bullish"
36,"MOV","Movado Group Inc","Common Stock",37.38,9.8,0.15869,850920000,3.74532,"United States of America","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Yes (Option Chain)",19.15843,22.46836,1.281066,0.42043,86,78,81,83,9.7,,4.31472,92.1449,2.6277,"very bullish"
37,"MRO","Marathon Oil Corp","Common Stock",24.95,9.8,20.34033,17930000000,1.28257,"United States of America","Energy","Oil, Gas & Consumable Fuels","Yes (Option Chain)",121.58082,124.79599,1.016946,0.45519,75,78,88,59,20.8,3.05117,133.18471,77.1777,-6.4887,"very bullish"
38,"RBCAA","Republic Bancorp Inc","Common Stock",41.85,9.8,0.02062,836750000,3.25926,"United States of America","Financials","Banks","Yes (Option Chain)",-6.85511,-4.41346,0.76804,0.17708,43,76,16,27,9.1,,-10.61321,28.1116,-0.8271,"very bullish"
39,"SASR","Sandy Spring Bancorp Inc","Common Stock",39.48,9.8,0.14751,1790000000,3.44478,"United States of America","Financials","Banks","Yes (Option Chain)",-12.96296,-10.55219,0.684313,0.26447,69,77,13,12,9.1,,-21.92771,66.5845,1.8961,"very bullish"
40,"SID","Companhia Siderurgica Nacional","Depository Receipt",4,9.8,5.36257,5370000000,10.00796,"Brazil","Materials","Metals & Mining","Yes (Option Chain)",-55.6541,-53.36353,0.641829,0.48693,99,76,30,82,2.5,,6.1055,2.4905,-11.1145,"very bullish"
41,"TRV","Travelers Companies Inc (The)","Common Stock",170.09,9.8,1.4652,40810000000,2.18708,"United States of America","Financials","Insurance","Yes (Option Chain)",9.97672,12.42516,0.42953,0.19018,82,83,75,55,10.8,1.52481,-4.31851,84.2264,0.7541,"very bullish"
42,"STC","Stewart Information Services Corp","Common Stock",51.45,9.8,0.1769,1400000000,2.91545,"United States of America","Financials","Insurance","Yes (Option Chain)",-12.27621,-10.35881,1.129501,0.2751,94,95,87,52,4.3,,-24.73214,91.4024,1.646,"very bullish"
43,"TD","Toronto-Dominion Bank (The)","Common Stock",72.01,9.8,2.20172,130970000000,3.92642,"Canada","Financials","Banks","Yes (Option Chain)",4.74182,8.58314,0.479105,0.16875,59,32,52,,9,0.96118,4.04551,50.5023,3.7518,"very bullish"
44,"WLL","Whiting Petroleum Corp","Common Stock",71.72,9.8,0.55407,2810000000,1.39431,"United States of America","Energy","Oil, Gas & Consumable Fuels","Yes (Option Chain)",78.98677,79.65443,1.318441,0.50694,89,93,50,90,6.7,,51.60119,94.6362,1.1621,"very bullish"
45,"DCP","DCP Midstream LP","Unit Trust Fund",33.88,9.8,0.63605,7060000000,4.60449,"United States of America","Energy","Oil, Gas & Consumable Fuels","Yes (Option Chain)",50.57778,58.2339,0.547927,0.37592,44,48,45,45,21.3,,159.49686,33.4884,3.4599,"very bullish"
46,"ET","Energy Transfer LP","Unit Trust Fund",11.28,9.8,21.98319,34770000000,7.0922,"United States of America","Energy","Oil, Gas & Consumable Fuels","Yes (Option Chain)",31.01045,39.70738,0.325412,0.32011,90,62,13,75,6,-0.49552,-28.46561,37.801,16.5194,"very bullish"
47,"BCC","Boise Cascade Co","Common Stock",76.39,9.8,0.40961,3010000000,0.62835,"United States of America","Industrials","Trading Companies & Distributors","Yes (Option Chain)",14.49341,24.1852,0.783795,0.42007,96,75,98,90,4.3,1.85031,-16.39399,91.2346,0.4043,"very bullish"
48,"CDEV","Centennial Resource Development Inc","Common Stock",7.62,9.8,9.36531,2170000000,0,"United States of America","Energy","Oil, Gas & Consumable Fuels","Yes (Option Chain)",74.77064,74.77064,1.574045,0.67379,73,79,54,50,16.6,,245.21739,76.1714,2.0382,"very bullish"
49,"ATKR","Atkore Inc","Common Stock",96.33,9.8,0.47494,4320000000,0,"United States of America","Industrials","Electrical Equipment","Yes (Option Chain)",23.05825,23.05825,1.406766,0.41384,96,71,92,76,6.5,-0.52351,3.55932,96.2929,0.5112,"very bullish"
50,"ARCH","Arch Coal Inc","Common Stock",164.73,9.8,0.79377,2550000000,0.60705,"United States of America","Energy","Oil, Gas & Consumable Fuels","Yes (Option Chain)",270.92997,272.91322,-0.250979,0.61965,71,48,97,82,5.2,,251.59685,92.9007,5.8524,"very bullish"
51,"TH","Target Hospitality Corp","Common Stock",6.99,9.8,0.29805,710140000,0,"United States of America","Consumer Discretionary","Hotels, Restaurants & Leisure","No",136.14865,136.14865,-0.173611,0.92634,86,95,53,29,,,,19.7294,-1.4416,"very bullish"
52,"AMNB","American National Bankshares Inc","Common Stock",34.81,9.7,0.02088,372950000,3.21747,"United States of America","Financials","Banks","Yes (Option Chain)",2.2921,5.43342,0.155404,0.22018,87,72,85,73,9.1,,-20.75,39.9535,2.1966,"very bullish"
53,"BANR","Banner Corp","Common Stock",53.99,9.7,0.17598,1860000000,3.25986,"United States of America","Financials","Banks","Yes (Option Chain)",-5.01407,-1.40281,0.653553,0.26594,69,94,72,76,9.5,,-11.16319,85.0863,1.7557,"very bullish"
54,"CLS","Celestica Inc","Common Stock",10.83,9.7,0.63128,1340000000,0,"Canada","Information Technology","Electronic Equipment, Instruments & Components","Yes (Option Chain)",30.012,30.012,0.985521,0.39525,96,76,80,89,11.8,0.58566,29,73.0925,2.2507,"very bullish"
55,"CTBI","Community Trust Bancorp Inc","Common Stock",40.12,9.7,0.04856,717510000,3.98804,"United States of America","Financials","Banks","Yes (Option Chain)",-11.35661,-7.97928,0.344176,0.18075,75,87,64,25,8.5,,-11.1336,58.229,1.3442,"very bullish"
56,"CIVB","Civista Bancshares Inc","Common Stock",20.32,9.7,0.04122,303760000,2.75591,"United States of America","Financials","Banks","Yes (Option Chain)",-12.14872,-10.61591,0.481656,0.2113,63,43,75,41,8,,-11.40684,53.544,0.7981,"very bullish"
57,"GSK","Glaxosmithkline PLC","Depository Receipt",44.72,9.7,4.73805,113680000000,4.839,"United Kingdom","Health Care","Pharmaceuticals","Yes (Option Chain)",19.76433,26.23442,0.535298,0.17979,92,98,37,97,19.1,3.30528,4.17604,12.9059,1.4075,"very bullish"
58,"HAFC","Hanmi Financial Corp","Common Stock",23.09,9.7,0.16483,703510000,3.81117,"United States of America","Financials","Banks","Yes (Option Chain)",13.74384,17.0519,0.599765,0.29313,87,98,97,45,6.9,,-16.30435,87.4715,0.7366,"very bullish"
59,"KT","Kt Corp","Depository Receipt",13.96,9.7,1.04418,6540000000,5.40617,"South Korea","Communication Services","Diversified Telecommunication Services","Yes (Option Chain)",10.79365,17.04767,0.448379,0.23833,84,59,88,99,6,1.05566,10.87216,19.6939,-3.5311,"very bullish"
60,"OXY","Occidental Petroleum Corp","Common Stock",58.3,9.7,29.33204,54620000000,0.89194,"United States of America","Energy","Oil, Gas & Consumable Fuels","Yes (Option Chain)",129.88959,130.68338,0.585518,0.6762,81,83,58,56,28.3,1.55871,252.62745,72.3038,0.8043,"very bullish"
61,"CNXN","PC Connection Inc","Common Stock",49.8,9.7,0.04365,1310000000,0,"United States of America","Information Technology","Electronic Equipment, Instruments & Components","Yes (Option Chain)",12.06852,12.02341,0.421719,0.2591,64,62,80,94,18.8,,11.69811,41.5464,0.4482,"very bullish"
62,"PFBC","Preferred Bank of Los Angeles","Common Stock",68.07,9.7,0.07897,1010000000,2.52681,"United States of America","Financials","Banks","Yes (Option Chain)",3.86024,6.2906,0.608387,0.24378,57,66,88,36,10.1,,16.48986,80.3531,0.3258,"very bullish"
63,"PGC","Peapack-Gladstone Financial Corp","Common Stock",30.99,9.7,0.05295,564300000,0.64537,"United States of America","Financials","Banks","Yes (Option Chain)",-3.15625,-2.59453,0.43941,0.21183,27,15,91,37,10.4,,9.09968,73.2369,1.2055,"very bullish"
64,"PSA","Public Storage","Common Stock (REIT)",360.05,9.7,0.71048,63140000000,2.22191,"United States of America","Real Estate","Equity Real Estate Investment Trusts (REITs)","Yes (Option Chain)",28.05876,31.18239,0.567312,0.20841,69,92,97,0,36.5,,4.22492,79.4732,2.9708,"very bullish"
65,"RIO","Rio Tinto Group","Depository Receipt",70.95,9.7,4.48116,89100000000,11.17689,"United Kingdom","Materials","Metals & Mining","Yes (Option Chain)",-16.58829,-5.55655,0.59863,0.31654,79,78,77,80,5.5,,-6.94804,9.1126,10.9335,"very bullish"
66,"SNY","Sanofi","Depository Receipt",53.06,9.7,1.90929,132920000000,3.38626,"France","Health Care","Pharmaceuticals","Yes (Option Chain)",4.2641,4.2641,0.428384,0.20033,96,94,4,97,18.8,1.77589,9.18236,,3.1271,"very bullish"
67,"WSBF","Waterstone Financial Inc","Common Stock",16.29,9.7,0.10201,393350000,4.91099,"United States of America","Financials","Thrifts & Mortgage Finance","Yes (Option Chain)",-17.30964,-9.93535,0.481916,0.17109,83,44,4,3,7.1,,-59.7973,57.8266,-1.4707,"very bullish"
68,"SXC","SunCoke Energy Inc","Common Stock",8.08,9.7,0.89,673230000,2.9703,"United States of America","Materials","Metals & Mining","Yes (Option Chain)",19.7037,23.73106,0.663962,0.48073,96,96,62,70,15.5,,70.19231,84.3905,2.6665,"very bullish"
69,"CUBI","Customers Bancorp Inc","Common Stock",42.6,9.7,0.4542,1400000000,0,"United States of America","Financials","Banks","Yes (Option Chain)",23.40672,23.40672,1.323638,0.48123,82,38,94,64,4.2,,-18.93378,84.4408,5.0136,"very bullish"
70,"FSBW","FS Bancorp Inc","Common Stock",29.37,9.7,0.0179,237540000,2.72387,"United States of America","Financials","Thrifts & Mortgage Finance","No",-14.05999,-12.49114,0.411037,0.18185,88,39,13,,7.8,,-21.8287,59.0939,-0.3185,"very bullish"
71,"SPWH","Sportsmans Warehouse Holdings Inc","Common Stock",9.95,9.7,1.03607,436610000,0,"United States of America","Consumer Discretionary","Specialty Retail","Yes (Option Chain)",-43.49801,-43.49801,0.415107,0.33083,42,23,81,86,4.1,,-18.77907,93.9828,-2.6996,"very bullish"
72,"CC","Chemours Co (The)","Common Stock",33.1,9.7,1.72267,5270000000,3.02115,"United States of America","Materials","Chemicals","Yes (Option Chain)",9.60265,13.06927,1.46852,0.44922,84,81,81,60,9.2,0.27303,12.675,73.8813,-1.5692,"very bullish"
73,"MSBI","Midland States Bancorp Inc","Common Stock",26.28,9.7,0.08694,585750000,4.414,"United States of America","Financials","Banks","No",-6.74237,-2.79597,0.221993,0.2206,89,37,86,47,7.1,,4.98599,58.7536,1.6458,"very bullish"
74,"CSTR","CapStar Financial Holdings Inc","Common Stock",20.22,9.7,0.04759,449410000,1.97824,"United States of America","Financials","Banks","No",5.36738,6.57858,0.24748,0.18068,66,47,73,,9.3,,-13.13636,43.4735,1.9346,"very bullish"
75,"CFB","CrossFirst Bankshares Inc","Common Stock",13.07,9.7,0.10833,652700000,0,"United States of America","Financials","Banks","No",-11.32972,-11.32972,0.471597,0.23514,47,88,87,25,9.1,,-5.14286,49.7845,0.878,"very bullish"
76,"AMX","America Movil SA De CV, Mexico","Depository Receipt",19.41,9.6,2.90946,41820000000,2.04192,"Mexico","Communication Services","Wireless Telecommunication Services","Yes (Option Chain)",39.2396,42.54212,0.653378,0.2715,79,93,30,81,18.5,0.81468,35.62791,9.5291,3.9246,"very bullish"
77,"CM","Canadian Imperial Bank of Commerce","Common Stock",110.19,9.6,0.52966,49730000000,4.68493,"Canada","Financials","Banks","Yes (Option Chain)",5.99269,10.38753,0.553151,0.18474,68,40,58,,7.6,1.7379,5.80511,44.5037,0.4179,"very bullish"
78,"BNS","The Bank of Nova Scotia","Common Stock",63.44,9.6,1.82965,76410000000,5.04898,"Canada","Financials","Banks","Yes (Option Chain)",-0.39253,4.17208,0.636468,0.15082,68,31,63,,7.9,1.30326,6.53113,45.9445,-1.6956,"very bullish"
79,"CATY","Cathay General Bancorp","Common Stock",40.64,9.6,0.31604,3050000000,3.34646,"United States of America","Financials","Banks","Yes (Option Chain)",0.39526,3.44704,0.746821,0.25668,47,37,61,11,10.5,,14.56693,69.5893,-1.3525,"very bullish"
80,"CERN","Cerner Corp","Common Stock",93.82,9.6,3.73687,27580000000,1.15114,"United States of America","Health Care","Health Care Technology","Yes (Option Chain)",23.46361,24.90722,0.096275,0.23554,85,99,56,84,51,3.61388,10.29851,82.173,-3.4402,"very bullish"
81,"COP","Conocophillips","Common Stock",95.92,9.6,8.32992,124320000000,2.43953,"United States of America","Energy","Oil, Gas & Consumable Fuels","Yes (Option Chain)",87.56355,93.85594,0.649012,0.34285,71,49,86,66,15.8,1.07874,100.13311,79.0854,-1.647,"very bullish"
82,"DB","Deutsche Bank AG","Common Stock",10.08,9.6,6.51898,20830000000,0,"Germany","Financials","Capital Markets","Yes (Option Chain)",-28,-28,1.627927,0.49967,28,5,41,21,9.1,0.62628,7.84314,,,"very bullish"
83,"ESGR","Enstar Group Ltd","Common Stock",240.97,9.6,0.04007,4360000000,0,"Bermuda","Financials","Insurance","No",-7.09769,-7.09769,0.263746,0.21571,87,90,9,55,11.1,,-17.47182,79.2741,-0.3395,"very bullish"
84,"FBP","First BanCorp (Puerto Rico)","Common Stock",13.83,9.6,1.95008,2750000000,3.47072,"United States of America","Financials","Banks","Yes (Option Chain)",10.02387,12.80146,0.669526,0.30518,62,75,77,47,9.5,,6.97842,92.9839,-1.8767,"very bullish"
85,"FISI","Financial Institutions Inc","Common Stock",27.93,9.6,0.05491,427300000,4.15324,"United States of America","Financials","Banks","Yes (Option Chain)",-12.5274,-9.43604,0.367084,0.20336,91,22,76,79,6.3,,-23.76569,68.9672,-0.5638,"very bullish"
86,"FULT","Fulton Financial Corp","Common Stock",15.34,9.6,1.13655,2460000000,3.91134,"United States of America","Financials","Banks","Yes (Option Chain)",-10.91754,-7.3333,0.530233,0.24079,55,30,67,22,9.7,,-5.88957,64.3531,2.5782,"very bullish"
87,"ITIC","Investors Title Co","Common Stock",185.57,9.6,0.0026,352030000,0.99154,"United States of America","Financials","Insurance","No",5.18052,14.34772,1.169916,0.35574,87,96,70,36,5.3,,,41.5713,0.9648,"very bullish"
88,"ZD","Ziff Davis Inc","Common Stock",89.38,9.6,0.34804,4230000000,0,"United States of America","Communication Services","Interactive Media & Services","No",-15.74943,-17.19072,0.753976,0.25291,84,61,82,36,10.7,,5.46603,98.7025,0.849,"very bullish"
89,"MOS","Mosaic Company (The)","Common Stock",62.4,9.6,8.45352,22590000000,0.72115,"United States of America","Materials","Chemicals","Yes (Option Chain)",77.37351,78.91965,0.958733,0.48041,65,75,21,71,14.6,,153.67063,85.2241,10.7331,"very bullish"
90,"NRIM","Northrim BanCorp Inc","Common Stock",39.35,9.6,0.01937,231300000,4.16773,"United States of America","Financials","Banks","No",-11.94898,-8.79565,0.471733,0.24452,98,37,12,,7.5,,-23.83333,69.9557,-3.3108,"very bullish"
91,"NWLI","National Western Life Group Inc","Common Stock",196.31,9.6,0.00645,713780000,0.18338,"United States of America","Financials","Insurance","No",-14.38727,-14.24765,0.596583,0.27072,69,44,14,57,4,,,82.9226,-0.7621,"very bullish"
92,"OPY","Oppenheimer Holdings Inc","Common Stock",32.35,9.6,0.08784,395670000,1.85471,"United States of America","Financials","Capital Markets","Yes (Option Chain)",-36.77936,-34.56469,0.928276,0.34204,95,93,17,91,2.8,,,45.4833,3.8576,"very bullish"
93,"OTTR","Otter Tail Corp","Common Stock",58.86,9.6,0.14152,2450000000,2.80326,"United States of America","Utilities","Electric Utilities","Yes (Option Chain)",22.90666,26.41507,0.537643,0.20984,78,75,79,62,13.9,,-6.24113,46.7678,-0.5775,"very bullish"
94,"PDCE","PDC Energy Inc","Common Stock",68.93,9.6,1.35768,6600000000,1.45075,"United States of America","Energy","Oil, Gas & Consumable Fuels","Yes (Option Chain)",85.54509,89.63765,1.437202,0.52199,88,95,80,68,13.2,,89.81227,81.9929,1.431,"very bullish"
95,"PIPR","Piper Sandler Cos","Common Stock",119.25,9.6,0.11896,2140000000,2.01258,"United States of America","Financials","Capital Markets","Yes (Option Chain)",2.81059,9.15142,1.339049,0.37879,96,87,85,95,7.7,,-36.24088,66.6653,3.8939,"very bullish"
96,"PKE","Park Aerospace Corp","Common Stock",11.8,9.6,0.09259,241400000,3.38983,"United States of America","Industrials","Aerospace & Defense","Yes (Option Chain)",-12.5278,-9.96037,0.493365,0.24199,39,23,78,16,31.9,,,81.1309,1.0959,"very bullish"
97,"PLPC","Preformed Line Products Co","Common Stock",60.31,9.6,0.01178,297870000,1.32648,"United States of America","Industrials","Electrical Equipment","No",-8.89728,-7.79163,0.795287,0.27198,80,47,92,87,8.4,,,41.925,-0.0832,"very bullish"
98,"QCRH","QCR Holdings Inc","Common Stock",53.52,9.6,0.07779,945810000,0.44843,"United States of America","Financials","Banks","Yes (Option Chain)",10.99129,11.49769,0.677355,0.21458,51,96,93,75,8.1,,0.31898,69.6178,0.6341,"very bullish"
99,"REGN","Regeneron Pharmaceuticals Inc","Common Stock",652.02,9.6,0.68943,71620000000,0,"United States of America","Health Care","Biotechnology","Yes (Option Chain)",33.44112,33.44112,0.786099,0.28153,91,75,83,85,9.1,,-41.4837,84.0281,2.4904,"very bullish"
